date,time,account,direction,amount,category,group,merchant,desc
2026-03-18,,UOB บัตรเครดิต,out,38.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-18,,UOB บัตรเครดิต,out,45.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-18,,UOB บัตรเครดิต,out,234.0,ค่าใช้จ่ายอื่น,transfer,LPE*KLONGDINSOR-SATHOR BANGK,LPE*KLONGDINSOR-SATHOR BANGKOK
2026-03-19,,UOB บัตรเครดิต,out,99.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-19,,UOB บัตรเครดิต,out,1122.0,อาหาร/ร้านอาหาร,discretionary,Sushiro,SUSHIRO GH (TH) C.BANG BANGKOK
2026-03-20,,UOB บัตรเครดิต,out,81.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-20,,UOB บัตรเครดิต,out,179.0,ซับสคริปชั่น/ดิจิทัล,discretionary,Google/YouTube,Google YouTube Mountain View
2026-03-20,,UOB บัตรเครดิต,out,202.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-20,,UOB บัตรเครดิต,out,666.0,ร้านสะดวกซื้อ,essential,Big C,BIG C -ISSARAPHAP STOR BANGKOK
2026-03-20,07:36,KBank ออมทรัพย์,out,24.0,ค่าบริการรายวัน (AUD),discretionary,ค่าบริการรายวัน AUD,AUD
2026-03-20,16:44,KBank ออมทรัพย์,in,3000.0,รายรับ (เงินเข้า),income,รับโอน SCB ชวมันท์ สุรพรรษ,รับโอน SCB ชวมันท์ สุรพรรษ
2026-03-20,18:16,KBank ออมทรัพย์,out,635.0,อาหาร/ร้านอาหาร,discretionary,อร่อยแซ่ซัว,อร่อยแซ่ซัว
2026-03-21,,UOB บัตรเครดิต,out,20.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-21,,UOB บัตรเครดิต,out,87.5,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-21,,UOB บัตรเครดิต,out,1011.04,อาหาร/ร้านอาหาร,discretionary,YAMACHAN-RATCHAPHRUEK BANGKO,YAMACHAN-RATCHAPHRUEK BANGKOK
2026-03-21,11:34,KBank ออมทรัพย์,out,40.0,โอนเงิน/บุคคล,transfer,วาสนา ศรีบุญ,โอน วาสนา ศรีบุญ
2026-03-21,11:35,KBank ออมทรัพย์,out,45.0,อาหาร/ร้านอาหาร,discretionary,ร้านอุดหนุน ศิลวสามชู ไก่ทอด,ร้านอุดหนุน ศิลวสามชู ไก่ทอด
2026-03-21,16:13,KBank ออมทรัพย์,out,40.0,อาหาร/ร้านอาหาร,discretionary,ทุกอย่าง 20 by Apple,ทุกอย่าง 20 by Apple
2026-03-21,16:13,KBank ออมทรัพย์,out,20.0,อาหาร/ร้านอาหาร,discretionary,ทุกอย่าง 20 by Apple,ทุกอย่าง 20 by Apple
2026-03-21,16:17,KBank ออมทรัพย์,out,70.0,คาเฟ่/ขนม,discretionary,ร้านอุดหนุน มะพร้าวปั่นวัดถิ,ร้านอุดหนุน มะพร้าวปั่นวัดถิม
2026-03-21,19:19,KBank ออมทรัพย์,out,150.0,อาหาร/ร้านอาหาร,discretionary,Ksher_MUEKUMHOMM,Ksher_MUEKUMHOMM
2026-03-21,19:23,KBank ออมทรัพย์,out,75.0,อาหาร/ร้านอาหาร,discretionary,ขนมพ่อชาราเปา เตอร์ฮอร์เคิล,ขนมพ่อชาราเปา เตอร์ฮอร์เคิล
2026-03-22,,UOB บัตรเครดิต,out,79.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-22,,UOB บัตรเครดิต,out,124.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-22,,UOB บัตรเครดิต,out,193.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-22,,UOB บัตรเครดิต,out,205.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-22,,UOB บัตรเครดิต,out,2240.69,ที่พัก/ท่องเที่ยว,discretionary,Booking.com,Booking.com Hotel Amsterdam
2026-03-22,,UOB บัตรเครดิต,out,119.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-22,08:55,KBank ออมทรัพย์,out,11.0,เดินทาง/ขนส่ง,essential,MBC เยาวราช,MBC พีซีซี เยาวราช
2026-03-22,11:01,KBank ออมทรัพย์,out,190.0,โอนเงิน/บุคคล,transfer,ประยงค์ศักดิ์,โอน ประยงค์ศักดิ์
2026-03-22,11:05,KBank ออมทรัพย์,out,88.0,โอนเงิน/บุคคล,transfer,สายผม จีนา,พร้อมเพย์ สายผม จีนา
2026-03-22,20:31,KBank ออมทรัพย์,out,94.0,ห้าง/ซูเปอร์มาร์เก็ต,essential,Tops,TOPS-C2B Bangkae
2026-03-23,,UOB บัตรเครดิต,in,5525.09,คืนเงิน (refund),refund,Airbnb,AIRBNB * HMXCYRFWZS LONDON
2026-03-23,,UOB บัตรเครดิต,out,15.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-23,,UOB บัตรเครดิต,out,20.0,ร้านสะดวกซื้อ,essential,Lotus,TMN LOTUS HYPER BANGKOK
2026-03-23,,UOB บัตรเครดิต,out,99.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-23,,UOB บัตรเครดิต,out,130.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-23,,UOB บัตรเครดิต,out,143.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-23,,UOB บัตรเครดิต,out,1293.0,อาหาร/ร้านอาหาร,discretionary,MK สุกี้,(M556)M.K.SUKI-I'M CHI BANGKOK
2026-03-23,07:18,KBank ออมทรัพย์,out,150.0,โอนเงิน/บุคคล,transfer,ธัญญากรณ์ ปราณ,โอน ธัญญากรณ์ ปราณ
2026-03-23,08:21,KBank ออมทรัพย์,out,136.0,อาหาร/ร้านอาหาร,discretionary,นาเอกินี โก,นาเอกินี โก
2026-03-23,08:21,KBank ออมทรัพย์,out,56.0,เดินทาง/ขนส่ง,essential,BTS/รถไฟฟ้า,BTS TIM TVM
2026-03-23,11:08,KBank ออมทรัพย์,out,50.0,โอนเงิน/บุคคล,transfer,สมนิก รวชน,พร้อมเพย์ สมนิก รวชน
2026-03-23,11:08,KBank ออมทรัพย์,out,70.0,โอนเงิน/บุคคล,transfer,วาสนา ศรีบุญ,โอน วาสนา ศรีบุญ
2026-03-23,17:00,KBank ออมทรัพย์,out,88.0,อาหาร/ร้านอาหาร,discretionary,Thai Hachiban,THAIHACHIBAN
2026-03-23,18:18,KBank ออมทรัพย์,out,243.0,อาหาร/ร้านอาหาร,discretionary,เมคเกอร์ ดี-เซน แอมโรนาวาน,เมคเกอร์ ดี-เซน แอมโรนาวาน
2026-03-24,,UOB บัตรเครดิต,in,2240.69,คืนเงิน (refund),refund,Booking.com,Booking.com Hotel Amsterdam
2026-03-24,,UOB บัตรเครดิต,in,2916.24,คืนเงิน (refund),refund,Booking.com,Hotel at Booking.com Amsterdam
2026-03-24,,UOB บัตรเครดิต,out,2916.24,ที่พัก/ท่องเที่ยว,discretionary,Booking.com,Hotel at Booking.com Amsterdam
2026-03-24,,UOB บัตรเครดิต,out,25.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,35.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,40.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,68.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
